Time,X(CH1),X(CH2),
Second,Volt,Volt,
-6.0000002e-01,-0.00000e+00,5.60000e-01,
-5.9985352e-01,-0.00000e+00,5.60000e-01,
-5.9970701e-01,-0.00000e+00,5.60000e-01,
-5.9956050e-01,-0.00000e+00,5.60000e-01,
-5.9941399e-01,-0.00000e+00,5.60000e-01,
-5.9926748e-01,-0.00000e+00,5.60000e-01,
-5.9912097e-01,-0.00000e+00,5.60000e-01,
-5.9897447e-01,-0.00000e+00,5.60000e-01,
-5.9882796e-01,-0.00000e+00,5.60000e-01,
-5.9868145e-01,-0.00000e+00,5.60000e-01,
-5.9853494e-01,-0.00000e+00,5.60000e-01,
-5.9838843e-01,-0.00000e+00,5.60000e-01,
-5.9824193e-01,-0.00000e+00,5.60000e-01,
-5.9809542e-01,-0.00000e+00,5.60000e-01,
-5.9794891e-01,-0.00000e+00,5.60000e-01,
-5.9780240e-01,-0.00000e+00,5.60000e-01,
-5.9765589e-01,-0.00000e+00,5.60000e-01,
-5.9750938e-01,-0.00000e+00,5.60000e-01,
-5.9736288e-01,-0.00000e+00,5.60000e-01,
-5.9721637e-01,-0.00000e+00,5.60000e-01,
-5.9706986e-01,2.00001e-01,6.20000e-01,
-5.9692335e-01,2.00001e-01,5.60000e-01,
-5.9677684e-01,-0.00000e+00,5.60000e-01,
-5.9663033e-01,2.00001e-01,5.60000e-01,
-5.9648383e-01,-0.00000e+00,5.60000e-01,
-5.9633732e-01,-0.00000e+00,5.80000e-01,
-5.9619081e-01,-0.00000e+00,5.80000e-01,
-5.9604430e-01,-0.00000e+00,5.60000e-01,
-5.9589779e-01,-0.00000e+00,5.60000e-01,
-5.9575129e-01,2.00001e-01,5.60000e-01,
-5.9560478e-01,-0.00000e+00,5.60000e-01,
-5.9545827e-01,2.00001e-01,5.80000e-01,
-5.9531176e-01,-0.00000e+00,5.60000e-01,
-5.9516525e-01,-0.00000e+00,6.00000e-01,
-5.9501874e-01,2.00001e-01,5.80000e-01,
-5.9487224e-01,-0.00000e+00,5.60000e-01,
-5.9472573e-01,-0.00000e+00,5.60000e-01,
-5.9457922e-01,2.00001e-01,5.60000e-01,
-5.9443271e-01,-0.00000e+00,5.40000e-01,
-5.9428620e-01,-0.00000e+00,5.60000e-01,
-5.9413970e-01,-0.00000e+00,5.60000e-01,
-5.9399319e-01,-0.00000e+00,5.60000e-01,
-5.9384668e-01,-0.00000e+00,5.40000e-01,
-5.9370017e-01,2.00001e-01,5.40000e-01,
-5.9355366e-01,-0.00000e+00,5.40000e-01,
-5.9340715e-01,-0.00000e+00,5.60000e-01,
-5.9326065e-01,-0.00000e+00,5.40000e-01,
-5.9311414e-01,2.00001e-01,5.40000e-01,
-5.9296763e-01,-0.00000e+00,5.40000e-01,
-5.9282112e-01,2.00001e-01,5.40000e-01,
-5.9267461e-01,-0.00000e+00,5.40000e-01,
-5.9252810e-01,2.00001e-01,5.40000e-01,
-5.9238160e-01,-0.00000e+00,5.40000e-01,
-5.9223509e-01,-0.00000e+00,5.80000e-01,
-5.9208858e-01,-0.00000e+00,5.40000e-01,
-5.9194207e-01,-0.00000e+00,5.40000e-01,
-5.9179556e-01,2.00001e-01,5.40000e-01,
-5.9164906e-01,-0.00000e+00,5.40000e-01,
-5.9150255e-01,-0.00000e+00,5.40000e-01,
-5.9135604e-01,-0.00000e+00,5.40000e-01,
-5.9120953e-01,-0.00000e+00,5.40000e-01,
-5.9106302e-01,-0.00000e+00,5.40000e-01,
-5.9091651e-01,-0.00000e+00,5.40000e-01,
-5.9077001e-01,2.00001e-01,5.40000e-01,
-5.9062350e-01,-0.00000e+00,5.40000e-01,
-5.9047699e-01,-0.00000e+00,5.40000e-01,
-5.9033048e-01,-0.00000e+00,5.40000e-01,
-5.9018397e-01,-0.00000e+00,5.40000e-01,
-5.9003747e-01,-0.00000e+00,5.40000e-01,
-5.8989096e-01,2.00001e-01,5.40000e-01,
-5.8974445e-01,-0.00000e+00,5.00000e-01,
-5.8959794e-01,-0.00000e+00,5.40000e-01,
-5.8945143e-01,2.00001e-01,5.40000e-01,
-5.8930492e-01,2.00001e-01,5.40000e-01,
-5.8915842e-01,2.00001e-01,5.40000e-01,
-5.8901191e-01,2.00001e-01,5.40000e-01,
-5.8886540e-01,-0.00000e+00,5.40000e-01,
-5.8871889e-01,2.00001e-01,5.00000e-01,
-5.8857238e-01,2.00001e-01,5.40000e-01,
-5.8842587e-01,-0.00000e+00,5.40000e-01,
-5.8827937e-01,2.00001e-01,5.40000e-01,
-5.8813286e-01,-0.00000e+00,5.40000e-01,
-5.8798635e-01,-0.00000e+00,5.40000e-01,
-5.8783984e-01,-0.00000e+00,5.40000e-01,
-5.8769333e-01,-0.00000e+00,5.40000e-01,
-5.8754683e-01,-0.00000e+00,5.40000e-01,
-5.8740032e-01,-0.00000e+00,5.40000e-01,
-5.8725381e-01,-0.00000e+00,5.40000e-01,
-5.8710730e-01,-0.00000e+00,5.40000e-01,
-5.8696079e-01,2.00001e-01,5.40000e-01,
-5.8681428e-01,2.00001e-01,5.40000e-01,
-5.8666778e-01,-0.00000e+00,5.40000e-01,
-5.8652127e-01,-0.00000e+00,5.40000e-01,
